code,name,main_function,latitude,longitude,coordinate_source,source_url,related_content
3-0,농업생명과학대학 본관,센터·기계·산림·연구·강의,35.84927240,127.13321760,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide.gif
3-1,농업생명과학대학 1호관,강의·학생 휴게·동아리,35.84914990,127.13086360,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide1.gif
3-2,농업생명과학대학 2호관,공통강의·화학실험·학생자치·휴게,35.84907310,127.13195780,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide2.gif
3-3,농업생명과학대학 3호관,강의·학생자치·공통실험,35.84857350,127.13472880,local_coordinate_xlsx,https://agri.jbnu.ac.kr/sites/agri/images/building_guide3.gif
3-4,농업생명과학대학 4호관,교육·연구 공간(세부 기능 미확인),35.84837750,127.13568820,local_coordinate_xlsx,https://agri.jbnu.ac.kr/agri/1286/subview.do
8-1,경상대학 1호관,학생 동아리 활동,35.84472370,127.13390000,naver_local_search,
8-2,경상대학 2호관,강의·특강,35.84472970,127.13530320,naver_local_search,
8-3,경상대학 3호관,교수연구,35.84458830,127.13597420,naver_local_search,
6-1,사범대학 본관,국어·수학 교원양성·학과행정,35.84263820,127.13190360,naver_local_search,
6-3,사범대학 과학관,과학교원 양성·실험교육,35.84577950,127.12957870,naver_local_search,
4-3,진수당,"법학전문교육, 강의·세미나, 학생지원",35.84521640,127.13151540,naver_local_search,
6-4,사범대학 예체능관,예체능 교원양성·실기,35.84778000,127.12971030,naver_local_search,
1-32,글로벌인재관,공공인재 교육·행정,35.84566290,127.13325340,naver_local_search,
7-1,생활과학대학,주거환경 교육·행정,35.84252990,127.13289100,naver_local_search,
10-1,약학대학,약학 교육·실습·연구,35.84840420,127.14479800,naver_local_search,
ART-1,예술대학 본관,무용 교육·실기·행정,35.850535,127.127330,open_street_map,
ART-2,예술대학 2호관,한국음악 교육·연습·행정,35.850779,127.128017,open_street_map,
13-3,예술대학 미술관·1-6 예지원,전시·예술교육 지원,35.84619870,127.12673510,local_coordinate_xlsx_unmatched,https://www.jbnu.ac.kr/web/intro/campus/sub02.do
14-2,인문대학 2호관,인문학 교육·학과행정,35.84418800,127.13275340,naver_local_search,
14-3,인문사회관,인문학 교육·학과행정,35.84316520,127.13394860,naver_local_search,
14-1,인문대학 1호관,인문학 교육·연구,35.84320480,127.13307840,naver_local_search,
15-0,자연과학대학 본관,수학 교육·행정,35.84748770,127.13044110,naver_local_search,
15-1,자연과학대학 1호관,화학 교육·행정,35.84526530,127.12743750,naver_local_search,
15-2,자연과학대학 2호관,생명과학 교육·행정,35.84512960,127.12875370,naver_local_search,
15-3,자연과학대학 3호관,스포츠과학 교육·행정,35.84711260,127.13040360,naver_local_search,
15-4,자연과학대학 4호관,분자생물 교육·행정,35.84667950,127.13056610,naver_local_search,
15-5,자연과학대학 5호관,물리 교육·행정,35.84616280,127.13086610,naver_local_search,
,학군단 건물,반도체 교육·행정,35.84610700,127.13149190,naver_local_search,
2-7,공과대학 7호관,컴퓨터·AI 교육·행정,35.84603790,127.13439070,naver_local_search,
